"client","route","role","screen","source","backend_dependency","loading_state","populated_state","empty_state","offline_state","validation_state","unauthorized_state","recoverable_error_state","success_state","primary_actions","current_test_coverage"
"flutter_android_authoritative","/contracts/:contractId","authenticated_or_public","JobContractScreen","flutter_mort/lib/features/legal/contract_payment_screens.dart","legalContractRepositoryProvider","detected","detected","detected","not_detected","detected","route_guard_detected","detected","detected","Exact work, pay, and safety terms; MORT creates a fixed agreement after an application is accepted. Material changes require both parties.; Agreements unavailable; No job agreements yet; Job contract review; One party cannot silently change pay, scope, hours, location, hazards, expenses, or payment timing.; Agreement unavailable; No agreement version; Parties and scope; Time, place, and payment; Safety and changes; Confirmation sentence","no_direct_static_reference"
"flutter_android_authoritative","/contracts/:contractId/change","authenticated_or_public","ContractChangeScreen","flutter_mort/lib/features/legal/contract_payment_screens.dart","legalContractRepositoryProvider","detected","detected","detected","not_detected","detected","route_guard_detected","detected","detected","Exact work, pay, and safety terms; MORT creates a fixed agreement after an application is accepted. Material changes require both parties.; Agreements unavailable; No job agreements yet; Job contract review; One party cannot silently change pay, scope, hours, location, hazards, expenses, or payment timing.; Agreement unavailable; No agreement version; Parties and scope; Time, place, and payment; Safety and changes; Confirmation sentence","no_direct_static_reference"
"flutter_android_authoritative","/contracts/:contractId/fund","adult","StripeJobFundingScreen","flutter_mort/lib/features/payments/stripe_marketplace_screens.dart","stripeMarketplaceRepositoryProvider","detected","detected","not_detected","not_detected","not_detected","route_guard_detected","detected","detected","Stripe payout setup; Stripe-hosted onboarding handles payout details and any provider-required guardian steps. MORT does not collect bank credentials or Stripe identity documents.; Payout status unavailable; Open Stripe-hosted onboarding; Refresh payout status; Review job funding; Stripe processes the charge. The accepted MORT contract controls the amount; the phone cannot change it.; Funding preview unavailable; Agreed job earnings; MORT service fee; Total adult charge; Expected teen transfer","no_direct_static_reference"
"flutter_android_authoritative","/contracts/:contractId/payment","authenticated_or_public","PaymentStatusScreen","flutter_mort/lib/features/legal/contract_payment_screens.dart","legalContractRepositoryProvider","detected","detected","detected","not_detected","detected","route_guard_detected","detected","detected","Exact work, pay, and safety terms; MORT creates a fixed agreement after an application is accepted. Material changes require both parties.; Agreements unavailable; No job agreements yet; Job contract review; One party cannot silently change pay, scope, hours, location, hazards, expenses, or payment timing.; Agreement unavailable; No agreement version; Parties and scope; Time, place, and payment; Safety and changes; Confirmation sentence","no_direct_static_reference"
"flutter_android_authoritative","/disputes/:disputeId","authenticated_or_public","PaymentDisputeScreen","flutter_mort/lib/features/legal/contract_payment_screens.dart","legalContractRepositoryProvider","detected","detected","detected","not_detected","detected","route_guard_detected","detected","detected","Exact work, pay, and safety terms; MORT creates a fixed agreement after an application is accepted. Material changes require both parties.; Agreements unavailable; No job agreements yet; Job contract review; One party cannot silently change pay, scope, hours, location, hazards, expenses, or payment timing.; Agreement unavailable; No agreement version; Parties and scope; Time, place, and payment; Safety and changes; Confirmation sentence","no_direct_static_reference"
"flutter_android_authoritative","/disputes/:disputeId/export","authenticated_or_public","EvidenceExportScreen","flutter_mort/lib/features/legal/contract_payment_screens.dart","legalContractRepositoryProvider","detected","detected","detected","not_detected","detected","route_guard_detected","detected","detected","Exact work, pay, and safety terms; MORT creates a fixed agreement after an application is accepted. Material changes require both parties.; Agreements unavailable; No job agreements yet; Job contract review; One party cannot silently change pay, scope, hours, location, hazards, expenses, or payment timing.; Agreement unavailable; No agreement version; Parties and scope; Time, place, and payment; Safety and changes; Confirmation sentence","no_direct_static_reference"
"flutter_android_authoritative","/guardian/activity","guardian","ActivityHistoryScreen","flutter_mort/lib/features/profile/activity_history_screen.dart","applicationsRepositoryProvider; jobsRepositoryProvider; guardianRepositoryProvider; reviewsRepositoryProvider; safetyRepositoryProvider","detected","detected","detected","not_detected","not_detected","route_guard_detected","detected","not_detected","Your MORT activity; This view shows only activity available to your account. Admin records and other users\; Applications and work; Posted jobs; Guardian links; Approved reviews received; Safety reports you submitted; $title unavailable","no_direct_static_reference"
"flutter_android_authoritative","/guardian/approvals","guardian","ApplicationListScreen","flutter_mort/lib/features/jobs/application_screens.dart","applicationsRepositoryProvider","detected","detected","detected","not_detected","not_detected","route_guard_detected","detected","detected","Applicants; View, accept, decline, and complete applications through protected job actions.; Approval requests; Only linked-teen applications for jobs that requested approval appear here.; Applications; Track real submission, review, assignment, work, proof, and completion states.; Applications unavailable; Retry; Nothing here yet; Availability confirmed; Approve for poster review; Decline","no_direct_static_reference"
"flutter_android_authoritative","/guardian/approvals/:applicationId","guardian","ApplicationListScreen","flutter_mort/lib/features/jobs/application_screens.dart","applicationsRepositoryProvider","detected","detected","detected","not_detected","not_detected","route_guard_detected","detected","detected","Applicants; View, accept, decline, and complete applications through protected job actions.; Approval requests; Only linked-teen applications for jobs that requested approval appear here.; Applications; Track real submission, review, assignment, work, proof, and completion states.; Applications unavailable; Retry; Nothing here yet; Availability confirmed; Approve for poster review; Decline","no_direct_static_reference"
"flutter_android_authoritative","/guardian/emergency-contacts","guardian","unresolved_builder","flutter_mort/lib/core/routing/app_router.dart","authRepositoryProvider","detected","not_detected","not_detected","not_detected","not_detected","route_guard_detected","detected","detected","Restricted safety queues; Account trust review; Adult ID review; Teen school-ID review; Teen alternatives; Business verification; Verification appeals; All incident cases; Person mismatch; Sexual safety; Grooming signals; Abduction concerns","no_direct_static_reference"
