"client","route","role","purpose","screen","source","backend_dependency","authorization_requirement","loading_state","populated_state","empty_state","offline_state","validation_state","unauthorized_state","recoverable_error_state","nonrecoverable_error_state","success_state","accessibility","deep_link_support","analytics_event","primary_actions","current_test_coverage","remaining_defect"
"flutter_android_authoritative","/monetization","authenticated_or_public","Make MORT yours.","MonetizationHomeScreen","flutter_mort/lib/features/monetization/screens/monetization_home_screen.dart","","authenticated_or_public_route_guard_plus_server_authorization","not_detected","not_detected","not_detected","not_detected","not_detected","route_guard_detected","not_detected","not_detected","not_detected","not_detected","registered_internal_route","not_collected_by_design","Make MORT yours.; Free stays useful. Premium is only for style, convenience, ad-free, analytics, and boosts.; MORT Plus; Ad-free; Username token; Job boost; Restore; Manage","flutter_mort/test/google_play_billing_contract_test.dart; flutter_mort/test/monetization_safety_test.dart","requires_physical_android_accessibility_offline_and_process_death_validation"
"flutter_android_authoritative","/monetization/ad-free","authenticated_or_public","Go ad-free.","AdFreeScreen","flutter_mort/lib/features/monetization/screens/ad_free_screen.dart","","authenticated_or_public_route_guard_plus_server_authorization","not_detected","not_detected","not_detected","not_detected","not_detected","route_guard_detected","not_detected","not_detected","not_detected","not_detected","registered_internal_route","not_collected_by_design","Go ad-free.; Hide eligible ads while keeping safety, reports, messages, and basic jobs free.","no_direct_static_reference","no_direct_static_test_reference"
"flutter_android_authoritative","/monetization/job-boost","authenticated_or_public","Boost a job safely.","JobBoostPaywallScreen","flutter_mort/lib/features/monetization/screens/job_boost_paywall_screen.dart","","authenticated_or_public_route_guard_plus_server_authorization","not_detected","not_detected","not_detected","not_detected","not_detected","route_guard_detected","not_detected","not_detected","not_detected","not_detected","registered_internal_route","not_collected_by_design","Boost a job safely.; Boosts are optional adult/business perks. They never bypass moderation, safety rules, or verification.","no_direct_static_reference","no_direct_static_test_reference"
"flutter_android_authoritative","/monetization/manage","authenticated_or_public","MORT Plus","ManageSubscriptionView","flutter_mort/lib/features/monetization/screens/google_play_billing_screens.dart","","authenticated_or_public_route_guard_plus_server_authorization","detected","detected","not_detected","not_detected","not_detected","route_guard_detected","detected","not_detected","detected","detected","registered_internal_route","not_collected_by_design","MORT Plus; Cosmetic and convenience extras. Jobs, safety, reporting, basic Guardian Mode, and applying stay free.; Choose a Google Play plan; Prices and billing periods below come from Google Play. Subscriptions renew automatically until canceled in Google Play.; Cosmetic packs; One-time purchases. They do not improve job or safety access.; Restore purchases; Manage subscription; Loading Google Play products...; Browse, apply, post jobs, and message; Reports, blocking, Safety Ping, and appeals; Basic Guardian Mode and FAQ help","no_direct_static_reference","no_direct_static_test_reference"
"flutter_android_authoritative","/monetization/paywall","authenticated_or_public","MORT Plus","MortPlusView","flutter_mort/lib/features/monetization/screens/google_play_billing_screens.dart","","authenticated_or_public_route_guard_plus_server_authorization","detected","detected","not_detected","not_detected","not_detected","route_guard_detected","detected","not_detected","detected","detected","registered_internal_route","not_collected_by_design","MORT Plus; Cosmetic and convenience extras. Jobs, safety, reporting, basic Guardian Mode, and applying stay free.; Choose a Google Play plan; Prices and billing periods below come from Google Play. Subscriptions renew automatically until canceled in Google Play.; Cosmetic packs; One-time purchases. They do not improve job or safety access.; Restore purchases; Manage subscription; Loading Google Play products...; Browse, apply, post jobs, and message; Reports, blocking, Safety Ping, and appeals; Basic Guardian Mode and FAQ help","no_direct_static_reference","no_direct_static_test_reference"
"flutter_android_authoritative","/monetization/restore","authenticated_or_public","MORT Plus","RestorePurchasesView","flutter_mort/lib/features/monetization/screens/google_play_billing_screens.dart","","authenticated_or_public_route_guard_plus_server_authorization","detected","detected","not_detected","not_detected","not_detected","route_guard_detected","detected","not_detected","detected","detected","registered_internal_route","not_collected_by_design","MORT Plus; Cosmetic and convenience extras. Jobs, safety, reporting, basic Guardian Mode, and applying stay free.; Choose a Google Play plan; Prices and billing periods below come from Google Play. Subscriptions renew automatically until canceled in Google Play.; Cosmetic packs; One-time purchases. They do not improve job or safety access.; Restore purchases; Manage subscription; Loading Google Play products...; Browse, apply, post jobs, and message; Reports, blocking, Safety Ping, and appeals; Basic Guardian Mode and FAQ help","no_direct_static_reference","no_direct_static_test_reference"
"flutter_android_authoritative","/monetization/username-change","authenticated_or_public","Need another username change?","UsernameChangePaywallScreen","flutter_mort/lib/features/monetization/screens/username_change_paywall_screen.dart","","authenticated_or_public_route_guard_plus_server_authorization","not_detected","not_detected","not_detected","not_detected","not_detected","route_guard_detected","not_detected","not_detected","not_detected","not_detected","registered_internal_route","not_collected_by_design","Need another username change?; You used your 3 free username changes. Grab a cheap username change token if you want. Your account still works if you do not pay.","no_direct_static_reference","no_direct_static_test_reference"
"flutter_android_authoritative","/notifications","authenticated_or_public","Updates","NotificationCenterScreen","flutter_mort/lib/features/notifications/notification_center_screen.dart","notificationsRepositoryProvider","authenticated_or_public_route_guard_plus_server_authorization","detected","detected","detected","not_detected","not_detected","route_guard_detected","detected","not_detected","detected","detected","registered_internal_route","not_collected_by_design","Updates; Application, message, job, proof, review, guardian, safety, support, and verification events appear here.; Notifications unavailable; Retry; No notifications; new","no_direct_static_reference","no_direct_static_test_reference"
"flutter_android_authoritative","/onboarding","authenticated_or_public","Enter MORT","OnboardingHubScreen","flutter_mort/lib/features/mort_screens.dart","missionPilotRepositoryProvider; authRepositoryProvider; profileRepositoryProvider; jobsRepositoryProvider; applicationsRepositoryProvider; uploadsRepositoryProvider; messagingRepositoryProvider; safetyRepositoryProvider; notificationsRepositoryProvider; adminRepositoryProvider; guardianRepositoryProvider; monetizationRepositoryProvider","authenticated_or_public_route_guard_plus_server_authorization","detected","detected","detected","not_detected","detected","route_guard_detected","detected","detected","detected","detected","registered_internal_route","not_collected_by_design","Enter MORT; Sign in; MORT; A darker, cleaner local hustle app for teens, adults, guardians, and safety moderation.; Free safety tools stay free; Create account; Read teen safety; MORT cannot connect right now; Close and reopen the app, then try again. Contact MORT Support if the problem continues.; Connection required; MORT is paused safely; Marketplace and account actions are temporarily unavailable while safety or reliability work is completed.","no_direct_static_reference","no_direct_static_test_reference"
"flutter_android_authoritative","/onboarding/age","authenticated_or_public","Enter MORT","AgeGateScreen","flutter_mort/lib/features/mort_screens.dart","missionPilotRepositoryProvider; authRepositoryProvider; profileRepositoryProvider; jobsRepositoryProvider; applicationsRepositoryProvider; uploadsRepositoryProvider; messagingRepositoryProvider; safetyRepositoryProvider; notificationsRepositoryProvider; adminRepositoryProvider; guardianRepositoryProvider; monetizationRepositoryProvider","authenticated_or_public_route_guard_plus_server_authorization","detected","detected","detected","not_detected","detected","route_guard_detected","detected","detected","detected","detected","registered_internal_route","not_collected_by_design","Enter MORT; Sign in; MORT; A darker, cleaner local hustle app for teens, adults, guardians, and safety moderation.; Free safety tools stay free; Create account; Read teen safety; MORT cannot connect right now; Close and reopen the app, then try again. Contact MORT Support if the problem continues.; Connection required; MORT is paused safely; Marketplace and account actions are temporarily unavailable while safety or reliability work is completed.","no_direct_static_reference","no_direct_static_test_reference"
"flutter_android_authoritative","/onboarding/availability","authenticated_or_public","Enter MORT","AvailabilityScreen","flutter_mort/lib/features/mort_screens.dart","missionPilotRepositoryProvider; authRepositoryProvider; profileRepositoryProvider; jobsRepositoryProvider; applicationsRepositoryProvider; uploadsRepositoryProvider; messagingRepositoryProvider; safetyRepositoryProvider; notificationsRepositoryProvider; adminRepositoryProvider; guardianRepositoryProvider; monetizationRepositoryProvider","authenticated_or_public_route_guard_plus_server_authorization","detected","detected","detected","not_detected","detected","route_guard_detected","detected","detected","detected","detected","registered_internal_route","not_collected_by_design","Enter MORT; Sign in; MORT; A darker, cleaner local hustle app for teens, adults, guardians, and safety moderation.; Free safety tools stay free; Create account; Read teen safety; MORT cannot connect right now; Close and reopen the app, then try again. Contact MORT Support if the problem continues.; Connection required; MORT is paused safely; Marketplace and account actions are temporarily unavailable while safety or reliability work is completed.","no_direct_static_reference","no_direct_static_test_reference"
"flutter_android_authoritative","/onboarding/guardian","authenticated_or_public","Guardian setup is optional","GuardianOptionalOnboardingScreen","flutter_mort/lib/features/guardian/guardian_mode_screens.dart","guardianRepositoryProvider","authenticated_or_public_route_guard_plus_server_authorization","detected","detected","detected","not_detected","detected","route_guard_detected","detected","not_detected","detected","detected","registered_internal_route","not_collected_by_design","Guardian setup is optional; Guardian linking is designed for teen accounts. You can manage your own Guardian Mode connections later in Settings.; Continue to safety; Add a guardian? Optional.; Guardian Mode can share selected safety alerts and check-ins with someone you trust. You can skip this and set it up later.; Guardian email (optional); Link a guardian now; Send an invite; Use an invite code; Continue; Skip for now; Unlink this guardian?","flutter_mort/test/guardian_job_profile_features_test.dart","requires_physical_android_accessibility_offline_and_process_death_validation"
